customer_id,customer_name,age,city,product_id,product_name,category,purchase_date,purchase_quantity,price_per_unit,total_spent,age_outlier_flag,purchase_quantity_outlier_flag,price_per_unit_outlier_flag,total_spent_outlier_flag
42,David Jones,37.0,Lake Antonio,155,Granola,Dairy,2024-04-09,3.0,7.72,23.16,0,0,0,0
43,Heidi Clark,20.0,West Marcus,153,Kale,Dairy,2024-01-22,3.0,5.27,15.81,0,0,0,0
44,Theresa Garza,48.0,Vincentside,147,Almond Butter,Vegetable,2024-10-23,4.0,12.12,48.48,0,0,0,0
45,Timothy Beasley,18.0,Andersonchester,197,Fresh Milk,Dairy,2024-06-21,2.0,14.93,29.86,0,0,0,0
46,Allen Parks,35.0,North Alexis,124,Almond Butter,Snack,2024-02-23,2.0,3.11,6.22,0,0,0,0
47,Heather Keller,62.0,West Stephen,125,Almond Butter,Dairy,2024-05-05,1.0,12.27,12.27,0,0,0,0
48,Unknown Customer,48.0,Unknown,135,Granola,Dairy,,,15.9,,0,0,0,0
49,Alison Watkins,56.0,Williamsstad,110,Kale,Organic,2024-02-29,2.0,14.81,29.62,0,0,0,0
50,Teresa Adams,76.0,Zacharyburgh,188,Tofu,Dairy,2024-02-22,1.0,17.59,17.59,0,0,0,0
51,Melissa Wang,50.0,Lake Randallhaven,129,Granola,Snack,2024-01-29,3.0,19.24,57.72,0,0,0,0
52,Mr. Anthony Gonzales,38.0,Johnfurt,129,Tofu,Dairy,2024-04-17,3.0,17.55,52.650000000000006,0,0,0,0
53,Betty Calderon,48.0,Flemingmouth,133,Kale,Organic,2024-10-07,3.0,5.39,16.169999999999998,0,0,0,0
54,Valerie Sanders,73.0,New Robertberg,138,Kale,Snack,2024-05-06,2.0,9.42,18.84,0,0,0,0
55,Mrs. Denise Dawson,30.0,Barnettfurt,179,Organic Apples,Organic,2024-05-25,3.0,9.79,29.37,0,0,0,0
56,Kim Murphy,49.0,South Theresaview,128,Organic Apples,Vegetable,2024-02-10,3.0,15.97,47.91,0,0,0,0
57,Diane Ford,67.0,Hamiltonborough,157,Kale,Dairy,2024-08-17,4.0,13.52,54.08,0,0,0,0
58,Todd Atkinson,25.0,Aarontown,145,Organic Apples,Snack,2024-10-06,4.0,6.18,24.72,0,0,0,0
59,Brittney Wilson,67.0,East Timothy,142,Granola,Snack,2024-08-15,4.0,17.57,70.28,0,0,0,0
60,Mary Larson,74.0,Birdside,160,Kale,Vegetable,2024-01-23,1.0,6.62,6.62,0,0,0,0
61,Laura Mendoza,79.0,Port Amberchester,100,Organic Apples,Vegetable,2024-01-30,4.0,16.06,64.24,0,0,0,0
62,Nancy Gonzalez,43.0,Josephstad,176,Almond Butter,Snack,2024-10-07,2.0,4.66,9.32,0,0,0,0
63,Gregory Daniel,24.0,Port Joanna,162,Almond Butter,Dairy,2024-05-17,3.0,14.3,42.900000000000006,0,0,0,0
64,Courtney Eaton,24.0,Port Courtneyview,136,Organic Apples,Organic,2024-07-18,1.0,12.07,12.07,0,0,0,0
65,Cathy Glenn,29.0,Bartlettmouth,171,Kale,Organic,2024-07-16,2.0,8.86,17.72,0,0,0,0
66,Nicholas Lopez,39.0,Wisetown,114,Tofu,Dairy,2024-04-27,2.0,2.98,5.96,0,0,0,0
67,Mrs. Gabrielle Carroll,69.0,North Tonya,179,Organic Apples,Snack,2024-04-25,2.0,4.19,8.38,0,0,0,0
68,Mary Nelson,67.0,North Patricia,187,Kale,Snack,2024-10-09,4.0,15.73,62.92,0,0,0,0
69,Ryan Stevenson,61.0,South Jessemouth,167,Tofu,Dairy,2024-08-19,2.0,18.84,37.68,0,0,0,0
70,Austin Parker,76.0,Port Geraldview,165,Granola,Organic,2024-07-23,1.0,11.85,11.85,0,0,0,0
71,Shawn Khan,34.0,Aprilview,129,Fresh Milk,Vegetable,2024-05-02,4.0,16.0,64.0,0,0,0,0
72,Virginia Shepherd,57.0,South Amyside,105,Almond Butter,Snack,2024-09-22,1.0,5.74,5.74,0,0,0,0
73,Jennifer Reeves,39.0,Nicholaschester,152,Almond Butter,Vegetable,2024-10-14,3.0,11.7,35.099999999999994,0,0,0,0
74,Timothy Nelson,63.0,Lake Lorichester,131,Kale,Dairy,2024-05-13,1.0,18.09,18.09,0,0,0,0
75,Joseph Wells,64.0,East Sonyaview,139,Tofu,Dairy,2024-07-25,1.0,12.18,12.18,0,0,0,0
76,Unknown Customer,48.0,Unknown,165,Tofu,Snack,,,6.51,,0,0,0,0
77,Jesse Stein,58.0,Port Jonathan,176,Fresh Milk,Vegetable,2024-01-05,3.0,7.74,23.22,0,0,0,0
78,James Bryant,71.0,Blakemouth,155,Kale,Dairy,2024-02-08,3.0,13.6,40.8,0,0,0,0
79,Richard Watson,19.0,Brandyberg,110,Almond Butter,Organic,2024-02-20,3.0,5.96,17.88,0,0,0,0
80,Seth Long,71.0,Lawsonview,137,Granola,Snack,2024-09-27,1.0,18.35,18.35,0,0,0,0
81,Jonathan Edwards,34.0,Morganbury,133,Almond Butter,Organic,2024-10-12,1.0,19.3,19.3,0,0,0,0
82,Larry Wiggins,78.0,Bakerfurt,113,Tofu,Organic,2024-07-18,2.0,1.26,2.52,0,0,0,0
83,Renee Gomez,41.0,Lake Brandon,178,Tofu,Organic,2024-10-01,4.0,14.22,56.88,0,0,0,0
84,Krystal Taylor,41.0,Cooperborough,161,Fresh Milk,Organic,2024-09-27,1.0,7.85,7.85,0,0,0,0
85,Alicia Campbell,25.0,Joeltown,186,Granola,Vegetable,2024-05-28,3.0,11.46,34.38,0,0,0,0
86,William Wood,30.0,Lake Anita,125,Granola,Organic,2024-01-29,3.0,14.28,42.84,0,0,0,0
87,Allison Fisher,48.0,West Ryan,112,Fresh Milk,Dairy,2024-03-13,2.0,4.4,8.8,0,0,0,0
88,Ryan Wright,63.0,Colefort,174,Granola,Snack,2024-05-03,4.0,15.43,61.72,0,0,0,0
89,John Dean,51.0,Jonesmouth,182,Almond Butter,Snack,2024-03-14,3.0,14.36,43.08,0,0,0,0
90,Scott Johnson,29.0,Chavezshire,113,Organic Apples,Organic,2024-05-17,2.0,5.64,11.28,0,0,0,0
91,Shelby Gonzalez,24.0,Leeland,136,Tofu,Organic,2024-09-06,3.0,19.4,58.2,0,0,0,0
92,Stacy Woods,59.0,New Diana,129,Almond Butter,Organic,2024-02-08,4.0,8.31,33.24,0,0,0,0
93,Ms. Selena Marquez,27.0,Christopherton,157,Almond Butter,Vegetable,2024-01-11,2.0,2.13,4.26,0,0,0,0
94,Jacob Foster,72.0,Lake Samanthaview,176,Kale,Snack,2024-01-01,4.0,8.64,34.56,0,0,0,0
95,Preston Kerr,31.0,Michaelville,102,Tofu,Dairy,2024-08-27,2.0,17.32,34.64,0,0,0,0
96,Patrick Dixon,47.0,East Marissaton,132,Kale,Organic,2024-03-22,3.0,5.5,16.5,0,0,0,0
97,Erin Rogers,71.0,Garrisonbury,157,Tofu,Snack,2024-08-19,1.0,9.77,9.77,0,0,0,0
98,Carl Phillips,68.0,Hardymouth,158,Granola,Snack,2024-08-08,4.0,13.9,55.6,0,0,0,0
99,Unknown Customer,48.0,Unknown,168,Tofu,Snack,,,19.76,,0,0,0,0
100,Raymond Garcia,40.0,Fosterburgh,140,Tofu,Dairy,2024-07-29,3.0,10.63,31.89,0,0,0,0
101,Daniel Choi,67.0,North Meganberg,158,Granola,Vegetable,2024-10-05,1.0,10.11,10.11,0,0,0,0
102,Kayla Williams,20.0,Port Daltonside,103,Fresh Milk,Vegetable,2024-08-09,4.0,7.27,29.08,0,0,0,0
103,Toni Gardner,71.0,Jimenezview,190,Almond Butter,Organic,2024-01-26,3.0,3.13,9.39,0,0,0,0
104,Justin Buckley,59.0,West Frank,121,Almond Butter,Vegetable,2024-09-30,3.0,15.69,47.07,0,0,0,0
105,Sonya Conway,79.0,Port Davidburgh,172,Organic Apples,Snack,2024-04-17,2.0,8.8,17.6,0,0,0,0
106,Andrew Garza,57.0,West Justin,163,Fresh Milk,Organic,2024-05-05,4.0,8.17,32.68,0,0,0,0
107,Brian Greene,78.0,Aguilarhaven,143,Organic Apples,Vegetable,2024-05-14,4.0,16.15,64.6,0,0,0,0
108,Jason Mccormick,70.0,New Loristad,132,Kale,Organic,2024-07-08,1.0,18.71,18.71,0,0,0,0
109,Keith Williams,27.0,Michellefort,142,Tofu,Organic,2024-04-17,1.0,6.51,6.51,0,0,0,0
110,Thomas Shaw,35.0,Calderonside,150,Almond Butter,Vegetable,2024-04-18,3.0,15.08,45.24,0,0,0,0
111,Rebecca Anderson,27.0,Easr Kayla,101,Kale,Snack,2024-08-10,1.0,3.29,3.29,0,0,0,0
112,Roger Lara,63.0,West Kellyberg,171,Organic Apples,Dairy,2024-09-08,3.0,16.65,49.95,0,0,0,0
113,Marco Jacobson,60.0,Portertown,102,Kale,Snack,2024-06-26,2.0,6.53,13.06,0,0,0,0
114,Vanessa Wood,55.0,Gailview,111,Granola,Dairy,2024-04-01,1.0,17.69,17.69,0,0,0,0
115,Matthew Aguilar,79.0,Juliachester,186,Granola,Vegetable,2024-03-18,3.0,7.52,22.56,0,0,0,0
116,Calvin King,46.0,Port Edwin,170,Granola,Dairy,2024-09-27,1.0,1.1,1.1,0,0,0,0
117,David Owens,35.0,North Michaelstad,131,Granola,Organic,2024-08-30,1.0,12.42,12.42,0,0,0,0
118,Paul Weber,55.0,Lake Joeside,177,Fresh Milk,Snack,2024-04-13,2.0,12.12,24.24,0,0,0,0
119,Jason Brown,59.0,South Jamie,129,Tofu,Snack,2024-07-17,4.0,18.3,73.2,0,0,0,0
120,Diana Smith,46.0,New Charles,189,Tofu,Vegetable,2024-02-02,4.0,14.44,57.76,0,0,0,0
121,Scott Sanchez,65.0,Brandonmouth,182,Organic Apples,Organic,2024-09-22,2.0,16.7,33.4,0,0,0,0
122,Unknown Customer,48.0,Unknown,183,Almond Butter,Vegetable,,,18.1,,0,0,0,0
123,Valerie Blake,61.0,Murphyborough,163,Kale,Vegetable,2024-09-01,1.0,14.71,14.71,0,0,0,0
124,Christine Burch,27.0,Port Aaron,110,Tofu,Snack,2024-04-14,4.0,4.58,18.32,0,0,0,0
125,Cindy Guzman,22.0,West Jasontown,174,Organic Apples,Snack,2024-02-24,1.0,17.67,17.67,0,0,0,0
126,Donald Ford,77.0,South Susan,136,Fresh Milk,Organic,2024-02-05,4.0,7.98,31.92,0,0,0,0
127,Stephanie Bentley,28.0,East Troy,178,Organic Apples,Snack,2024-10-24,2.0,19.46,38.92,0,0,0,0
128,Joseph Rivera,69.0,South Kimberlyhaven,161,Almond Butter,Snack,2024-02-27,3.0,2.3,6.9,0,0,0,0
129,Mindy Guzman,35.0,East Joannaville,120,Almond Butter,Snack,2024-07-09,2.0,10.12,20.24,0,0,0,0
130,Christine Nixon,79.0,East Amychester,137,Organic Apples,Snack,2024-02-04,2.0,13.09,26.18,0,0,0,0
131,Olivia Travis,71.0,Franceston,180,Granola,Organic,2024-02-12,2.0,16.79,33.58,0,0,0,0
132,Thomas Fox,23.0,Johnsonview,158,Almond Butter,Snack,2024-03-26,1.0,3.95,3.95,0,0,0,0
133,Jon Baker,29.0,Laceyport,162,Fresh Milk,Organic,2024-08-08,2.0,18.84,37.68,0,0,0,0
134,Dawn Moses,18.0,New Alexander,138,Organic Apples,Vegetable,2024-03-21,4.0,12.15,48.6,0,0,0,0
135,Nathan Hill,58.0,New Tracytown,192,Organic Apples,Organic,2024-05-10,3.0,3.02,9.06,0,0,0,0
136,Unknown Customer,48.0,Unknown,143,Kale,Dairy,,,17.04,,0,0,0,0
137,John Clark,73.0,Wilkinsview,161,Organic Apples,Dairy,2024-08-25,3.0,1.09,3.2700000000000005,0,0,0,0
138,Tara Willis,52.0,Lake Barry,168,Tofu,Organic,2024-10-25,2.0,1.91,3.82,0,0,0,0
139,Charles Murray,53.0,Lake Joy,103,Tofu,Vegetable,2024-08-01,3.0,15.16,45.48,0,0,0,0
140,Mr. David Erickson Md,71.0,Molinatown,156,Organic Apples,Dairy,2024-04-16,3.0,8.08,24.24,0,0,0,0
141,Tiffany Nguyen,63.0,East Lori,113,Almond Butter,Organic,2024-03-11,3.0,17.79,53.37,0,0,0,0
142,Holly David,65.0,Scottmouth,173,Organic Apples,Dairy,2024-04-20,2.0,8.55,17.1,0,0,0,0
143,Chad Stephenson,55.0,New Charlesmouth,178,Kale,Vegetable,2024-09-12,4.0,4.59,18.36,0,0,0,0
144,Deanna Roberts,39.0,Port Rachel,130,Fresh Milk,Snack,2024-09-05,4.0,8.76,35.04,0,0,0,0
145,Robert Henry,69.0,Kellyshire,118,Tofu,Snack,2024-08-08,3.0,8.88,26.64,0,0,0,0
146,Dana Moore,27.0,New Karen,123,Organic Apples,SNACK,2024-03-14,3.0,18.49,55.47,0,0,0,0
147,Steven Thompson,64.0,Hoffmanshire,158,Tofu,ORGANIC,2024-01-26,4.0,8.78,35.12,0,0,0,0
148,Kevin Reed,52.0,Griffinport,141,Kale,Snack,2024-04-01,4.0,12.98,51.92,0,0,0,0
149,Lauren Johnson,74.0,North Ericstad,119,Kale,Vegetable,2024-04-25,4.0,17.74,70.96,0,0,0,0
150,Ronnie Rogers,44.0,Portermouth,192,Fresh Milk,Snack,2024-03-11,1.0,12.09,12.09,0,0,0,0
151,Eddie Wilcox,70.0,Elizabethshire,153,Kale,Organic,2024-04-24,2.0,12.15,24.3,0,0,0,0
152,Michael Quinn,46.0,Melissashire,190,Tofu,SNACK,2024-05-09,1.0,15.11,15.11,0,0,0,0
153,David Finley,60.0,Raybury,151,Granola,Dairy,2024-11-06,3.0,19.49,58.47,0,0,0,0
154,Keith Parks,76.0,Jameston,157,Kale,Organic,2024-09-20,4.0,17.52,70.08,0,0,0,0
155,Kim Taylor,30.0,Annefurt,141,Organic Apples,Vegetable,2024-09-24,2.0,15.45,30.9,0,0,0,0
156,Derrick Davis,19.0,Brownside,184,Almond Butter,Snack,2024-06-26,4.0,2.07,8.28,0,0,0,0
157,Lisa Nguyen,45.0,East Staceyside,112,Tofu,Dairy,2024-07-13,3.0,1.33,3.99,0,0,0,0
158,Pamela Clarke,64.0,Christopherborough,166,Granola,Organic,2024-03-25,4.0,7.86,31.44,0,0,0,0
159,Kathryn Bauer,45.0,West David,180,Kale,Organic,2024-04-11,1.0,9.4,9.4,0,0,0,0
160,Jeremy Werner,40.0,Sethside,127,Almond Butter,Vegetable,2024-01-25,4.0,9.44,37.76,0,0,0,0
161,Unknown Customer,48.0,Unknown,146,Organic Apples,Vegetable,,,14.61,,0,0,0,0
162,Olivia Medina,35.0,South Theresa,175,Organic Apples,Organic,2024-04-20,3.0,5.59,16.77,0,0,0,0
163,Teresa Bryant,66.0,New Tony,106,Tofu,Vegetable,2024-07-22,2.0,14.68,29.36,0,0,0,0
164,Karen Berry,31.0,Port Christine,120,Organic Apples,Vegetable,2024-02-21,1.0,19.94,19.94,0,0,0,0
165,Elizabeth Rich,28.0,Lake Darrellport,106,Fresh Milk,Organic,2024-02-21,4.0,11.45,45.8,0,0,0,0
166,Robert Harrison,33.0,West Gabrielle,108,Almond Butter,Snack,2024-04-19,1.0,6.41,6.41,0,0,0,0
167,Patrick Price,19.0,North Andreaberg,111,Almond Butter,Organic,2024-07-25,3.0,6.78,20.34,0,0,0,0
168,John Cook,52.0,East Katherine,120,Granola,Snack,2024-01-31,3.0,16.79,50.37,0,0,0,0
169,Brian Gonzalez,64.0,Englishton,186,Organic Apples,Organic,2024-04-28,1.0,427.9,427.9,0,0,1,1
170,Justin Bruce,28.0,Lake Adam,108,Almond Butter,Dairy,2024-04-05,1.0,5.43,5.43,0,0,0,0
171,Patricia Lopez,33.0,Hoganfurt,173,Kale,Snack,2024-01-02,4.0,12.69,50.76,0,0,0,0
172,Unknown Customer,48.0,Unknown,118,Almond Butter,Dairy,,,5.48,,0,0,0,0
173,Maria Thomas,19.0,Joelfort,103,Kale,Organic,2024-03-05,1.0,12.85,12.85,0,0,0,0
174,Unknown Customer,48.0,Unknown,127,Tofu,Dairy,,,2.41,,0,0,0,0
175,Jacob Perry,37.0,Port Candacefurt,130,Granola,Vegetable,2024-09-09,2.0,4.25,8.5,0,0,0,0
176,Christina Smith,52.0,Lake Gregory,163,Kale,Dairy,2024-08-19,3.0,11.29,33.87,0,0,0,0
177,Cameron Foster,79.0,Alexanderberg,170,Organic Apples,Organic,2024-04-12,2.0,17.72,35.44,0,0,0,0
178,James Sanchez,57.0,Heberthaven,171,Kale,Dairy,2024-04-07,3.0,5.27,15.81,0,0,0,0
179,Unknown Customer,48.0,Unknown,152,Granola,Vegetable,,,9.01,,0,0,0,0
180,Laura Shaw,72.0,South Kathryn,170,Almond Butter,Snack,2024-07-26,3.0,11.89,35.67,0,0,0,0
181,Christopher Wright,47.0,Blankenshipberg,181,Organic Apples,Snack,2024-11-03,2.0,4.72,9.44,0,0,0,0
182,Brianna Nguyen,49.0,Samanthaton,101,Tofu,Dairy,2024-10-18,4.0,6.77,27.08,0,0,0,0
183,Tina Lewis,79.0,Arthurburgh,197,Tofu,Organic,2024-06-22,1.0,7.4,7.4,0,0,0,0
184,Sean Travis,61.0,Hartfurt,107,Tofu,Snack,2024-08-31,4.0,13.93,55.72,0,0,0,0
185,Michael Wagner,57.0,North Debrahaven,188,Fresh Milk,Organic,2024-07-17,1.0,9.76,9.76,0,0,0,0
186,Paula Young,75.0,Thomasmouth,138,Tofu,Snack,2024-01-15,3.0,8.95,26.85,0,0,0,0
187,John Edwards,30.0,Lake Keith,131,Fresh Milk,Dairy,2024-01-03,1.0,9.96,9.96,0,0,0,0
188,James Parker,60.0,South Joeborough,118,Fresh Milk,Snack,2024-06-14,1.0,4.47,4.47,0,0,0,0
189,Kayla Santiago,56.0,Catherinechester,171,Almond Butter,Dairy,2024-05-29,3.0,9.27,27.81,0,0,0,0
190,Catherine Cruz,29.0,Andersonborough,105,Organic Apples,Organic,2024-10-02,1.0,9.78,9.78,0,0,0,0
191,Bradley Lyons,56.0,East James,105,Granola,Organic,2024-07-28,4.0,1.03,4.12,0,0,0,0
192,James Taylor,54.0,Wilsonview,191,Organic Apples,Snack,2024-03-03,1.0,12.0,12.0,0,0,0,0
193,Jennifer Duncan,77.0,Juanstad,120,Organic Apples,Organic,2024-03-23,2.0,11.09,22.18,0,0,0,0
194,Nicole Thompson,45.0,Rosestad,183,Fresh Milk,Organic,2024-05-28,1.0,3.67,3.67,0,0,0,0
195,Unknown Customer,48.0,Unknown,126,Almond Butter,Vegetable,,,2.65,,0,0,0,0
196,Christopher Nelson,65.0,South Austin,192,Fresh Milk,Snack,2024-10-23,4.0,12.22,48.88,0,0,0,0
197,Wendy Johnson,72.0,Alanberg,188,Granola,Vegetable,2024-01-14,1.0,9.71,9.71,0,0,0,0
198,Kelly Hansen,43.0,Sanchezstad,186,Almond Butter,Organic,2024-01-31,1.0,11.44,11.44,0,0,0,0
199,Jacob Huang,56.0,North Aaronberg,162,Fresh Milk,Snack,2024-03-18,1.0,3.55,3.55,0,0,0,0
200,Mrs. Shannon Lopez,41.0,South Danachester,160,Kale,Snack,2024-10-16,2.0,17.49,34.98,0,0,0,0
201,Stacy Brown,61.0,Lake Danielberg,130,Organic Apples,Snack,2024-01-01,2.0,17.25,34.5,0,0,0,0
202,Benjamin Padilla,28.0,West Joseph,175,Organic Apples,Snack,2024-09-08,4.0,16.41,65.64,0,0,0,0
203,William Perry,41.0,West Williammouth,109,Almond Butter,Dairy,2024-06-24,2.0,1.04,2.08,0,0,0,0
204,Mary Davis,49.0,Powellburgh,114,Tofu,Vegetable,2024-06-05,2.0,7.41,14.82,0,0,0,0
205,Emily Dalton,35.0,West Andrew,165,Almond Butter,Organic,2024-05-12,4.0,5.43,21.72,0,0,0,0
206,Kyle Gonzalez,44.0,New William,174,Almond Butter,Vegetable,2024-07-01,2.0,7.9,15.8,0,0,0,0
207,William Adams,77.0,North Amberport,186,Granola,Organic,2024-09-25,2.0,14.2,28.4,0,0,0,0
208,Mark Gomez,70.0,Michelleport,142,Kale,Organic,2024-04-08,2.0,18.27,36.54,0,0,0,0
209,Beverly Mcclure,20.0,Orozcoville,117,Kale,Vegetable,2024-11-04,4.0,5.05,20.2,0,0,0,0
210,Carol Marshall,58.0,Port Susan,163,Organic Apples,Snack,2024-04-27,3.0,12.24,36.72,0,0,0,0
211,Unknown Customer,48.0,Unknown,160,Fresh Milk,Snack,,,19.83,,0,0,0,0
212,Anna Barrett,76.0,South Charlesville,120,Tofu,Dairy,2024-02-07,2.0,11.07,22.14,0,0,0,0
213,Taylor Martin,72.0,Port Juan,166,Fresh Milk,Dairy,2024-07-15,1.0,14.45,14.45,0,0,0,0
214,Lacey Larson,27.0,Patrickmouth,163,Organic Apples,Organic,2024-04-19,1.0,13.47,13.47,0,0,0,0
215,Jamie Terry,34.0,North Pamela,108,Organic Apples,Vegetable,2024-02-25,1.0,19.94,19.94,0,0,0,0
216,Elizabeth Nelson,73.0,East Robert,122,Almond Butter,Snack,2024-03-31,2.0,14.64,29.28,0,0,0,0
217,Ariana Davies,18.0,Josephberg,191,Granola,Snack,2024-09-16,2.0,9.14,18.28,0,0,0,0
218,Danny Thompson,35.0,Rodriguezberg,125,Tofu,Dairy,2024-04-21,2.0,15.35,30.7,0,0,0,0
219,David Richardson,21.0,Markstown,150,Kale,Organic,2024-02-25,2.0,1.86,3.72,0,0,0,0
220,Andrew Cohen,57.0,West Lindaberg,124,Kale,Dairy,2024-05-01,4.0,14.22,56.88,0,0,0,0
221,Jason Wheeler,71.0,North Sarah,189,Kale,Organic,2024-06-02,2.0,10.87,21.74,0,0,0,0
222,Clayton Stafford,32.0,Jennifermouth,121,Fresh Milk,Vegetable,2024-09-24,4.0,12.53,50.12,0,0,0,0
223,Anthony Moore,36.0,Lake Allenbury,192,Organic Apples,Organic,2024-02-09,1.0,13.7,13.7,0,0,0,0
224,Steven Allen,57.0,East Taramouth,123,Fresh Milk,Organic,2024-04-20,4.0,11.43,45.72,0,0,0,0
225,Unknown Customer,48.0,Unknown,144,Kale,Dairy,,,2.34,,0,0,0,0
226,Jonathan Avila,69.0,Vincentside,191,Almond Butter,Snack,2024-05-01,2.0,17.98,35.96,0,0,0,0
227,Jordan Doyle,35.0,Jamiestad,142,Organic Apples,Organic,2024-05-14,4.0,3.13,12.52,0,0,0,0
228,Unknown Customer,48.0,Unknown,112,Tofu,Organic,,,12.63,,0,0,0,0
229,Karen Luna,66.0,Livingstonchester,116,Organic Apples,Dairy,2024-02-04,1.0,18.35,18.35,0,0,0,0
230,Anthony Stone,64.0,South Matthew,140,Granola,Organic,2024-06-23,1.0,5.99,5.99,0,0,0,0
